speaker,quote_1,quote_2,quote_3,quote_4,quote_5,quote_6,quote_7,quote_8,quote_9,quote_10
Barack Obama,1.66E-32,1.58E-33,3.30E-106,8.80E-108,1.00E-60,7.47E-161,9.53E-230,1.02E-169,3.80E-219,1.20E-130
Donald Trump,1.19E-25,5.56E-05,1.08E-97,9.22E-93,3.23E-64,7.89E-171,5.72E-231,4.72E-164,3.31E-184,1.93E-134
Ted Cruz,1.13E-33,1.03E-43,6.65E-88,1.09E-107,1.03E-63,3.52E-214,3.40E-240,1.07E-178,3.94E-207,2.56E-185
Bernie Sanders,1.98E-16,3.34E-48,4.15E-117,2.19E-73,6.27E-54,3.37E-172,5.39E-226,2.95E-182,2.19E-196,1.13E-154
Tim Kaine,1.12E-27,5.72E-27,1.38E-127,1.56E-98,5.42E-64,7.88E-162,8.07E-247,7.67E-167,1.37E-206,7.70E-147
Elizabeth Warren,6.18E-36,2.93E-34,1.10E-126,2.31E-108,1.00E-60,5.75E-178,1.08E-235,3.98E-156,3.93E-200,7.82E-139
Lisa Murkowski,1.27E-23,3.06E-44,8.16E-126,4.75E-113,6.12E-64,6.30E-168,7.97E-222,1.79E-163,5.74E-229,1.22E-140
Marco Rubio,4.39E-33,1.04E-44,9.96E-107,2.84E-118,1.00E-60,8.55E-249,1.29E-239,4.61E-118,1.60E-198,5.11E-167
Mike Lee,1.37E-27,6.20E-35,1.30E-124,2.12E-94,5.58E-54,1.84E-179,1.32E-203,2.19E-158,2.80E-183,3.76E-151
Chuck Schumer,9.07E-27,3.62E-37,1.53E-117,3.13E-101,7.82E-54,2.19E-176,8.03E-238,2.23E-184,9.58E-190,8.92E-163
